,means,med,iqr,minout,maxout
0,3.6393333052678125,1.5613189444444444,5.833347656199685,-8.357986762077305,14.975403862721434
1,3.779423842698338,1.6980677222222222,5.726845656162963,-7.935107539799999,14.972275084851852
2,4.179494364834613,1.8053797222222223,6.453708649950077,-8.69605666936956,17.118777930430745
3,4.445891201360549,1.931231388888889,6.578389144405121,-8.541309133274348,17.772247444346135
4,4.471630732438985,2.050653722222222,6.439135074474791,-8.124313750601075,17.63222654729809
5,4.319595226783239,2.162022388888889,5.166694055428099,-6.169350555364371,14.497425666348025
6,4.471939631688668,2.3010841111111113,5.823730433221284,-7.106363399831925,16.18855833305321
7,4.756610064397632,2.4153076666666666,6.386594434304222,-7.8932448736785545,17.65313286353833
8,4.871893441163932,2.5116597777777776,6.2568059091252355,-7.660640030354521,17.366583606146424
9,4.8939296928085225,2.5825825555555557,6.117945463603707,-7.40997608429445,17.06180577012038
10,4.870413424132919,2.618955777777778,5.9427615944563055,-7.102282891684458,16.66876348614076
11,4.990335560294009,2.6555613888888887,5.850037103650471,-6.941159988809039,16.458988425792842
12,5.111932669272589,2.6826909444444444,5.7156376097726564,-6.728439414658984,16.13411102443164
13,5.1132299562595005,2.7129291666666666,5.574539977962591,-6.518286189166108,15.779873722684254
14,5.086628525592603,2.744512111111111,5.709779386818618,-6.728618941339039,16.110498605935433
15,5.049356570392115,2.7838469999999997,5.726064544872765,-6.767616483975814,16.136641695515245
16,5.02136818368613,2.850203611111111,5.571972047055066,-6.546902376138155,15.74098581208211
17,5.019418800913895,2.9237938333333333,5.49976157149682,-6.456088412800786,15.542957873186495
18,5.028979925098387,3.0113705,5.45362081260823,-6.396788441134569,15.417694809298354
19,5.068941498163004,3.1015105555555555,5.45690258217228,-6.414002289925087,15.413608038764032
20,5.069410911346922,3.1739318888888888,5.462944509013839,-6.435539569076315,15.416238466979044
21,5.059865630558983,3.2462975,5.389775083667514,-6.348740653279048,15.210359681391006
22,5.0257747348716215,3.3571198888888887,5.449285687568882,-6.469156781353324,15.327985968922206
23,5.027198138703523,3.485295888888889,5.336944623546714,-6.329464379764515,15.01831411442234
24,5.040908237482052,3.635518888888889,5.271717498484289,-6.247702803281989,14.839167190655168
25,5.135950009640944,3.8322037222222223,5.243758321093406,-6.21259859275122,14.762434691622403
26,5.206644470915815,4.017288166666667,5.2242636671992315,-6.183565111909958,14.713489556886968
27,5.20096107401758,4.211093611111111,5.226311433372721,-6.190153205614636,14.715092527876246
28,5.159151327430365,4.408504388888889,4.970416117069085,-5.808570536714739,14.073093931561601
29,5.2017917901864354,4.5808122777777776,5.0771495110279865,-5.964684683208646,14.3439133609033
30,5.2588241117597665,4.751820944444445,5.033801130569269,-5.893917473631681,14.241287048645393
31,5.255388586515818,4.905514388888889,4.688495008586155,-5.353968735101455,13.400011299243166
32,5.2785819693950815,5.036038277777777,4.63172267439991,-5.245580817155421,13.28130988044422
33,5.278494872643521,5.165085777777778,4.575566166484679,-5.1294135830603516,13.172851082878363
34,5.304167083224683,5.268596444444444,4.488455696705083,-4.958878239502069,12.994944547318262
35,5.3421403997496935,5.298419222222222,4.416417144669562,-4.809684522559897,12.855984056118348
36,5.356044344261882,5.160158333333333,4.40068105611936,-4.7313984175123736,12.871325806965068
37,5.330836227335723,5.061681500000001,4.3094797557689715,-4.54818046698679,12.689738556089095
38,5.447890854378292,5.754431717566234,4.4623978541458165,-4.855646447885391,12.993944968697875
39,5.493441107489986,5.747441586521897,4.508375333333333,-4.860319888888889,13.173181444444445
40,5.462357823196929,5.031984962860586,4.486777966227182,-4.779920060451884,13.167191804456843
41,5.555043267830316,5.609816103670515,4.392582777777777,-4.5727032777777765,12.997627833333333
42,5.566789025660241,5.522086915848967,4.305504777777777,-4.365020499999999,12.85699861111111
43,5.457668870330326,4.6234341865928865,4.191794777777778,-4.139330166666667,12.627848944444445
44,5.444819134177536,4.0432887147522285,4.158484111111111,-4.17145575,12.462480694444444
45,5.443842700649713,4.0078371466668425,3.924809944444444,-3.788347222222222,11.910892555555556
46,5.402539800660209,4.076508013975404,3.609886194444445,-3.2909038472222223,11.148640930555556
47,5.227802662526522,3.7336801383089764,3.1539187777777773,-2.58277411111111,10.032900999999999
48,5.014312074534166,3.346964444035396,2.657737638888889,-1.8125484583333331,8.818402097222222
49,4.846542586789588,3.065386568164118,2.1404032222222216,-1.0147742777777764,7.546838611111109
50,5.050451204560397,3.345739222549143,1.6685730555555556,-0.25215536111111136,6.422136861111111
51,4.945229349771346,3.0060176666666667,1.7919793086726816,-0.6079796296756887,6.559937605015038
52,4.7940466508006665,2.329727777777778,1.7021720181432503,-0.6232977494370975,6.185390323135904
53,5.000341087403101,2.3509460555555557,1.83430950300542,-1.138091393397019,6.1991466186246615
54,4.704534390778761,1.9711622222222223,1.4685191899487386,-0.9031993127008859,4.970877447094069
55,4.572008128632061,1.7648298333333332,1.5617186230473763,-1.3510374623488421,4.8958370298406635
56,5.237219678894467,2.2106583333333334,2.0231799781867252,-2.177766078391199,5.9149538343557015
57,5.17900408073892,2.179751111111111,2.2361332355680545,-2.5089617422409707,6.435571200031248
58,6.266273956760469,2.507080680946095,5.1135427488176735,-5.840408178782066,14.613762816488627
59,5.8787672494251435,1.748300491153702,5.148610267117739,-6.483686663946056,14.1107544045249
60,5.557466981872748,1.4259889444444447,5.60918800469503,-7.726648046231464,14.710103972548657
61,5.448269784432961,1.3710416111111112,5.432846659305419,-7.456037620838801,14.275349016382874
62,5.410969208822216,1.2893477777777778,5.3370824611400245,-7.324006428980052,14.024323415580046
63,5.305343811442807,1.1900870555555556,5.132641407529274,-7.017567381559367,13.512998248557729
64,6.854241266387909,1.432397,8.769297399581866,-12.0398145993728,23.037374998954665
65,6.743936388972847,1.2539542222222222,8.698800139014825,-12.02615943074446,22.769041125314843
66,6.586960663490683,1.033101111111111,8.588712439680469,-11.978929103965147,22.375920654756726
67,6.4623591668909475,0.902588,8.476297750336421,-11.880179125504633,22.025011875841052
68,6.266386712997814,0.7637624444444444,8.367710736163389,-11.844690826467305,21.626152118186248
69,8.871178481312194,8.871178481312194,8.118508147978861,-7.365837814645529,25.108194777269915
70,8.581489862488246,8.581489862488246,7.834069084710469,-7.086648306932691,24.249628031909182
71,7.948257095158723,7.948257095158723,7.202148428492056,-6.45603976182539,22.352553952142834
72,7.848321628009591,7.848321628009591,7.10572151689848,-6.3631214057873695,22.059764661806554
73,7.881940563819304,7.881940563819304,7.136902341597082,-6.39186411937486,22.15574524701347
74,7.894304664984894,7.894304664984894,7.1419983316515605,-6.389691998318227,22.178301328288015
75,7.730185056612018,7.730185056612018,6.980804501056463,-6.231423945500909,21.691794058724945
76,7.48104985135415,7.48104985135415,6.726957518020817,-5.972865184687483,20.934964887395786
77,7.0556617795651535,7.0556617795651535,6.28901544623182,-5.522369112898486,19.633692672028793
78,6.038783359229798,6.038783359229798,5.268559914785354,-4.49833647034091,16.575903188800506
79,5.232284431118981,5.232284431118981,4.460777542230092,-3.689270653341203,14.153839515579165
80,5.113602646867214,5.113602646867214,4.330573980200548,-3.547545313533881,13.77475060726831
81,3.0610239506782637,3.0610239506782637,2.269464172900486,-1.4779043951227084,7.599952296479236
82,3.5506622566252792,3.5506622566252792,2.761659701069723,-1.9726571455141668,9.073981658764726
83,3.041735301624377,3.041735301624377,2.2476358571799326,-1.4535364127354877,7.537007015984242
84,2.1247078167627134,2.1247078167627134,1.3257167056516022,-0.5267255945404912,4.776141228065917
85,2.1351143523970335,2.1351143523970335,1.3383461301748112,-0.5415779079525891,4.811806612746656
86,0.7867321111111111,0.7867321111111111,0.0,0.7867321111111111,0.7867321111111111
87,0.7790238888888888,0.7790238888888888,0.0,0.7790238888888888,0.7790238888888888
88,0.763149,0.763149,0.0,0.763149,0.763149
89,0.7406526666666666,0.7406526666666666,0.0,0.7406526666666666,0.7406526666666666
90,0.7120648888888889,0.7120648888888889,0.0,0.7120648888888889,0.7120648888888889
91,0.6820111111111111,0.6820111111111111,0.0,0.6820111111111111,0.6820111111111111
92,0.6499646666666666,0.6499646666666666,0.0,0.6499646666666666,0.6499646666666666
93,0.615159,0.615159,0.0,0.615159,0.615159
